E(MeV)  pendfb7/Si30:2
0.00221301762  3.57383375
0.00221423886  3.7152926
0.0022154601  3.88529017
0.00221651852  4.06206078
0.00221731233  4.21714051
0.00221810614  4.39596716
0.00221889995  4.60376251
0.00221969375  4.84727873
0.00222030438  5.06439149
0.002220915  5.31303435
0.00222152562  5.59980461
0.00222213624  5.93318613
0.00222254332  6.18668042
0.0022229504  6.4698971
0.00222334934  6.78117591
0.00222374828  7.13178364
0.00222414722  7.52911774
0.00222454616  7.98259231
0.00222484537  8.36676051
0.00222514457  8.7958398
0.00222544378  9.27806909
0.00222574298  9.82384607
0.00222604218  10.4466196
0.00222627218  10.9885064
0.00222646759  11.5001765
0.00222666298  12.0668409
0.00222685838  12.6976924
0.00222705378  13.4036932
0.00222724918  14.1981001
0.00222744458  15.0968855
0.00222763998  16.1192468
0.00222777025  16.8806727
0.00222790051  17.7149579
0.00222803078  18.6310587
0.00222816104  19.6387029
0.00222830759  20.8956113
0.00222842972  22.0548835
0.00222855184  23.3276123
0.00222867397  24.7262885
0.00222879609  26.2640632
0.00222891821  27.9555556
0.00222904034  29.8165855
0.00222916247  31.863838
0.00222928459  34.1150728
0.00222940671  36.5894945
0.00222952883  39.3071775
0.00222963875  41.9787302
0.00222974866  44.8799857
0.00222985857  48.0274885
0.00222996848  51.4378669
0.0022300784  55.1282769
0.00223018831  59.1148743
0.00223029822  63.4146455
0.00223040813  68.0438866
0.00223051805  73.0187689
0.00223062795  78.3527482
0.00223075822  85.1604421
0.0022308722  91.5635593
0.00223098618  98.3956958
0.00223110016  105.665935
0.00223121415  113.381286
0.00223138512  125.79255
0.00223155609  139.205383
0.0022316945  150.780895
0.00223185734  165.185747
0.00223202017  180.383288
0.00223226441  204.485873
0.00223255751  235.002112
0.00223319256  302.925721
0.00223350194  334.191593
0.00223369734  352.377932
0.0022339416  372.729201
0.00223416956  388.762282
0.00223438287  400.720963
0.00223458315  408.961335
0.00223475249  413.510283
0.002235  415.997333
0.00223515632  414.982058
0.00223536474  410.543255
0.00223556015  403.283851
0.00223576857  392.440046
0.00223599328  377.496415
0.00223623753  357.950576
0.00223643293  340.278749
0.00223674232  309.579526
0.00223759718  218.723054
0.00223783329  194.716455
0.00223807754  171.258087
0.00223824038  156.554432
0.00223842763  140.675041
0.00223858639  128.121311
0.00223874515  116.42663
0.00223890391  105.597666
0.00223906267  95.6273932
0.00223920515  87.3954314
0.00223931506  81.4949139
0.00223942498  75.9730799
0.00223953489  70.8179161
0.0022396448  66.014644
0.00223975471  61.5480356
0.00223986463  57.4017871
0.00223997454  53.560233
0.00224008445  50.0062994
0.00224019436  46.7232325
0.00224030428  43.6941119
0.00224042233  40.7053863
0.00224054446  37.880959
0.00224066658  35.3078644
0.00224078871  32.9653112
0.00224091083  30.834303
0.00224103295  28.8963244
0.00224115508  27.1340377
0.00224127721  25.5315453
0.00224139933  24.074042
0.00224152145  22.7476074
0.00224164357  21.5395643
0.00224176977  20.4032257
0.00224189596  19.3693358
0.00224202216  18.4271597
0.00224214835  17.5673066
0.00224227455  16.7810566
0.00224246384  15.7232545
0.00224265313  14.7914366
0.00224284243  13.9665032
0.00224303172  13.2325561
0.00224322101  12.5761817
0.0022434103  11.9862211
0.00224366269  11.287046
0.00224394969  10.5929581
0.00224423668  9.98684195
0.00224452368  9.45292799
0.00224481067  8.97906756
0.00224509766  8.55569179
0.00224538465  8.17522372
0.00224576731  7.72431344
0.00224614996  7.32757375
0.00224653262  6.97612374
0.00224692749  6.65354668
0.00224733457  6.35719553
0.00224774165  6.09221848
0.00224814873  5.85418688
0.00224875935  5.53986172
0.00224936997  5.26827484
0.00224998059  5.03184835
0.00225071334  4.78628227
0.00225144609  4.57488228
0.00225217883  4.39149379
0.00225291158  4.23129303
0.00225388857  4.04728169
0.00225470274  3.91518997
0.00225592398  3.7461591
0.00225714522  3.60511624
0.00225836647  3.48617313
0.00225958771  3.38492
0.00226121604  3.27173308
0.00226284436  3.17815325
0.00226447269  3.09987305
0.00226691517  3.00441411
0.00226935766  2.92881016
0.00227180015  2.86788483
0.00227546388  2.79633731
0.00227994177  2.73154293
0.00228319842  2.69533101
0.00228971172  2.6413154
0.00229687635  2.60041654
0.0023076233  2.56015764
0.00231837024  2.53432273
0.00233400216  2.51052724
0.00235926156  2.489134
0.00241212106  2.46984411
0.00253294278  2.45706168
0.00452928  2.44354266
0.004815132  2.44793023
0.004877985  2.45852929
0.00490812  2.47720246
0.0049283535  2.51431689
0.004936533  2.54776987
0.004940838  2.57550555
0.004945143  2.61570615
0.00494837175  2.65908365
0.00495106238  2.70900926
0.00495348394  2.77042258
0.00495509832  2.82413482
0.00495644363  2.87987187
0.004958058  2.96498786
0.00495913425  3.03682918
0.0049602105  3.12527924
0.00496101769  3.20600516
0.00496182488  3.30302683
0.00496263207  3.42165043
0.00496317019  3.51655219
0.00496370832  3.62800615
0.00496424644  3.76082377
0.00496471461  3.89899389
0.00496511283  4.03788385
0.00496551104  4.20176874
0.0049658097  4.34503225
0.00496610835  4.50958835
0.00496640702  4.69972093
0.00496670568  4.92054728
0.00496700434  5.1782111
0.00496720344  5.3739876
0.00496740255  5.5918178
0.00496760165  5.83440958
0.00496780883  6.11638769
0.00496802408  6.44521222
0.00496823933  6.81510392
0.00496845458  7.23104071
0.00496866983  7.6983971
0.00496888508  8.22292351
0.00496910033  8.81071161
0.00496931558  9.46814378
0.00496947702  10.0108979
0.00496963845  10.5993441
0.00496979989  11.2364149
0.00497006895  12.4138677
0.0049702842  13.4673645
0.00497049945  14.6267729
0.0049707147  15.8978184
0.00497092995  17.285523
0.0049711452  18.7939969
0.00497132817  20.1734755
0.00497151113  21.6433815
0.00497169409  23.2040542
0.00497196854  25.7136901
0.00497224298  28.4193952
0.00497251742  31.3092329
0.00497282415  34.7344787
0.00497325465  39.8229381
0.0049743309  53.0880005
0.00497478293  58.364363
0.00497532105  63.9296097
0.00497566545  66.9039374
0.00497597111  69.0655755
0.00497624232  70.5588907
0.00497648771  71.5380808
0.0049767417  72.1603965
0.004977  72.3732534
0.0049772583  72.1584646
0.00497746494  71.6813259
0.00497776629  70.512758
0.00497804397  68.9639641
0.00497833455  66.8967181
0.00497865743  64.1232978
0.00497904488  60.2416076
0.0049793247  57.1425985
0.0049798413  50.9906832
0.00498076688  39.5744352
0.00498115433  34.9992611
0.00498150411  31.0984033
0.00498178394  28.1711726
0.0049819938  26.1014761
0.00498220905  24.0969082
0.0049824243  22.2157784
0.00498263955  20.4598069
0.0049828548  18.8289344
0.00498307005  17.3215343
0.0049832853  15.9346333
0.00498350055  14.6641333
0.0049837158  13.5050285
0.00498393105  12.4516136
0.00498409249  11.7271779
0.00498425393  11.0559575
0.00498441537  10.4351372
0.0049845768  9.86190484
0.00498473824  9.33334306
0.00498489968  8.84666924
0.00498511493  8.25816213
0.00498533018  7.73284459
0.00498551852  7.32025315
0.00498576068  6.84782908
0.00498600284  6.43366898
0.00498624499  6.07075383
0.00498648715  5.75266671
0.0049867293  5.4736884
0.00498697146  5.22867115
0.00498737505  4.88374549
0.00498769793  4.6548201
0.0049880208  4.45964294
0.00498835983  4.2844168
0.00498869884  4.13406387
0.00498915087  3.9645048
0.00498960289  3.82276167
0.00499005492  3.70263355
0.00499050694  3.59954127
0.00499118498  3.46961626
0.00499190607  3.35618222
0.00499271325  3.25170219
0.00499352044  3.16517536
0.00499432763  3.09246038
0.00499540388  3.01203666
0.00499648013  2.94612476
0.0049980945  2.86731695
0.00499970888  2.80602867
0.00500131007  2.75768863
0.00500343621  2.70728271
0.00500662542  2.65184482
0.00501003652  2.60995563
0.00501389138  2.57621314
0.0050190312  2.54508235
0.00502674093  2.51540767
0.00503804853  2.49062519
0.00505706585  2.47011078
0.00508996067  2.45583443
0.00518864516  2.44512191
0.0369509135  2.325511
0.058445  2.23203912
0.0755229132  2.14221241
0.0884558  2.06009647
0.0984594  1.98437474
0.10721255  1.90582889
0.11446516  1.8293389
0.12046732  1.75555347
0.12546912  1.68503687
0.13047092  1.60351932
0.13447236  1.52900298
0.1384738  1.44446999
0.14197506  1.35971328
0.14497614  1.27781727
0.14747704  1.20195596
0.14997794  1.11756768
0.15197866  1.04342955
0.15397938  0.96252235
0.15547992  0.897187395
0.15698046  0.826827307
0.158481  0.752143542
0.15998154  0.672148342
0.16148208  0.587016524
0.16298262  0.496946133
0.16448316  0.402621298
0.16723415  0.224916805
0.167859375  0.185569352
0.168422078  0.151307153
0.168797213  0.129332101
0.169047303  0.115207081
0.16948496  0.091633349
0.16973505  0.078980075
0.169922618  0.069948698
0.170110185  0.061321387
0.170266492  0.054508209
0.170391537  0.049302466
0.170516582  0.044335813
0.170641627  0.039623211
0.170766672  0.035162393
0.170860455  0.032014682
0.170954239  0.029038812
0.171048023  0.026235386
0.171141807  0.023619529
0.171266852  0.020429575
0.171329374  0.018969028
0.171391897  0.017601583
0.171454419  0.016330004
0.171548203  0.014606141
0.171610725  0.013583726
0.171657618  0.012885537
0.171704509  0.012250899
0.171751401  0.011678453
0.171798293  0.011169517
0.171845185  0.010725481
0.171892077  0.010347708
0.171938969  0.010037645
0.17198586  0.009796713
0.172032753  0.009626403
0.172079644  0.009528204
0.172110905  0.009503565
0.172157798  0.009529003
0.172204689  0.009630701
0.172251581  0.009810312
0.172298473  0.010069448
0.172345365  0.010409826
0.172392257  0.010833124
0.172439149  0.011341127
0.17248604  0.011935568
0.172532933  0.012618343
0.172579824  0.013391211
0.172626716  0.01425615
0.172673608  0.015215033
0.1727205  0.016269868
0.172767392  0.017422622
0.172814284  0.018675381
0.172861175  0.020030163
0.172908068  0.021489228
0.17298622  0.024163457
0.173048743  0.026523743
0.173111265  0.029080199
0.173173788  0.031843455
0.17323631  0.034819162
0.173298833  0.038013304
0.173361355  0.04143183
0.173423878  0.045081055
0.1734864  0.048967239
0.173548923  0.053097049
0.173611445  0.057477073
0.173673968  0.062114349
0.17373649  0.067015808
0.173799013  0.072188879
0.173892797  0.080480334
0.17398658  0.089412733
0.174080364  0.099039416
0.174174148  0.109361322
0.174267932  0.120435965
0.174361715  0.132264297
0.174455499  0.144908798
0.174549283  0.158370487
0.174643067  0.172716663
0.17473685  0.187948354
0.174830634  0.204138652
0.174924418  0.221288643
0.175111985  0.258759302
0.17523703  0.286136965
0.175362075  0.315583126
0.17548712  0.347210137
0.175612165  0.38113608
0.17573721  0.417485005
0.175862255  0.456387158
0.1759873  0.497979215
0.176112345  0.542404508
0.17623739  0.589813235
0.176362435  0.640362674
0.17648748  0.694217365
0.176612525  0.751549276
0.17673757  0.81253795
0.176862615  0.877370607
0.17698766  0.946242214
0.177112705  1.01935551
0.17723775  1.09692098
0.177362795  1.17915671
0.17748784  1.26628828
0.17773793  1.45617668
0.17798802  1.66852669
0.17823811  1.90536845
0.178363155  2.03362598
0.178538218  2.22502891
0.178688272  2.40018393
0.178888344  2.65109871
0.179088416  2.92231245
0.179288488  3.21495636
0.17948856  3.52989523
0.179688632  3.86785352
0.179888704  4.22936923
0.180088776  4.61474256
0.180288848  5.02397985
0.18048892  5.45673465
0.180688992  5.91224812
0.1809891  6.63503205
0.181289208  7.40015702
0.18248964  10.6524659
0.182889784  11.6861682
0.183189892  12.4009164
0.183520011  13.1061517
0.183790108  13.6068411
0.184090216  14.0752795
0.184390324  14.445745
0.184690432  14.717409
0.18499054  14.8933418
0.185440702  14.9923821
0.185790828  14.9489695
0.186140954  14.8171786
0.186591116  14.5489147
0.187091296  14.1564801
0.187891584  13.4065721
0.18949216  11.8201676
0.190367475  11.020315
0.19124279  10.2967137
